created_at,text,sentiment_score
2022-12-10T20:29:25.000Z,"Remembering how much I laughed at this drawing in the Little Nemo manual, the gorilla smoking big doinks in Slumberland is now one of my emotes!  Big ol' doinks. https://t.co/9hMsmS67tS",7.294
2022-12-08T03:09:51.000Z,They watched Slumberland. https://t.co/x3CIN0tkHU,5
2022-12-08T19:55:11.000Z,"Slumberland... Momoa ...should stick to action I guess... or he's just eye candy for the ladies... 
...the acting is this is horrible!",2.2885
2022-12-05T20:55:32.000Z,"@austinlouisray Literally everything makes me cry - commercials, songs, movies, books - you name it. I think the last thing that got me was Slumberland on Netflix. 🐷 https://t.co/9bDKDHrQ4G",2.6165
2022-12-10T03:42:03.000Z,Slumberland is a GREAT movie.,8.1245
2022-12-08T19:56:59.000Z,"Slumberland... Momoa ...should stick to action I guess... or he's just eye candy for the ladies... 
...the acting in this is horrible!",2.2885
2022-12-08T03:46:11.000Z,Watching slumberland,5
2022-12-08T20:38:44.000Z,Omg the movie slumberland its sad and a happy movie in 1 i enjoyed it,8.1845
2022-12-08T03:47:18.000Z,"Completed today's crossword puzzle, @Dictionarycom—45 minutes before I visit slumberland.  😴
💯
🔗https://t.co/jxM57AkIwM https://t.co/neeeXciS1j",5
2022-12-08T20:04:19.000Z,@AnnoyingFilmKid You’ll probably like Slumberland for how charming it is so I recommend that,9.3025
2022-12-08T03:56:41.000Z,"RT @maesells111: Netflix premium on hand 

full warranty
unli replacement 
good for 2 devices 

𓂋 available tv laptop fantasy onhand anime…",8.753
