created_at,text,sentiment_score
2022-11-28T20:11:36.000Z,RT @GusGamma78: Here are my finished Black Panther digital paintings. T'Challa is all wrapped up. #WakandaForever #BlackPanther #Tchalla #N…,5
2022-11-28T20:11:44.000Z,Shit  i want to go see black Panther wakanda forever,2.447
2022-11-28T20:11:52.000Z,The back and forth of emotions I was feeling while reading this LOL https://t.co/TTcWbpxOjx https://t.co/ApjGgtX1Cz,7.8945
2022-11-28T20:11:53.000Z,RT @ndeenda_elao: Where can I watch Black Panther?,5
2022-11-28T19:56:54.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:11:54.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:12:13.000Z,"RT @cosmic_marvel: #WakandaForever writer Joe Robert Cole says Nakia and M’Baku were both considered to be the new Black Panther.

“M’Baku…",5
2022-11-28T20:12:01.000Z,RT @TheAfricaReport: “There’s a sense of awakening that there is value in our culture. International studios have also highlighted that wit…,6.7
2022-11-28T20:12:05.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:12:10.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:12:07.000Z,"RT @cosmic_marvel: #WakandaForever writer Joe Robert Cole says Nakia and M’Baku were both considered to be the new Black Panther.

“M’Baku…",5
2022-11-28T20:12:15.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:12:16.000Z,They got pinkpantheress on the black panther soundtrack that is WILD,5
2022-11-28T20:12:33.000Z,"RT @Jenny30355206: Watch Black Panther Wakanda Forever FOR FREE. #BlackPanther #Marvel #movies #free #comic #Watching 
https://t.co/t9DTAOt…",9.2775
2022-11-28T20:12:27.000Z,"saw black panther last night, I’m Kukulkan",5
2022-11-28T20:12:28.000Z,"RT @GiveBloodNHS: .@DanaiGurira shares how it’s #InOurBlood to save lives, together.

Inspired? Register to become a blood donor today ➡️ h…",8.2985
2022-11-28T20:12:44.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:12:39.000Z,"RT @savessh: All the advertising and Twitter posts just makes Black Panther seem like two hours of black women crying.

#BlackPanther #Waka…",6.806
2022-11-28T20:12:59.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:13:05.000Z,"RT @Jenny30355206: Watch Black Panther Wakanda Forever FOR FREE. #BlackPanther #Marvel #movies #free #comic #Watching 
https://t.co/t9DTAOt…",9.2775
2022-11-28T20:13:02.000Z,‘Black Panther: Wakanda Forever’ Continues The Series’ Quest To Recover And Celebrate Lost Cultures https://t.co/RJxkPFBG9G #BlackPanther #WakandaForever,6.7
2022-11-28T20:12:55.000Z,"RT @theblackpanther: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionall…",5.7655
2022-11-28T20:12:50.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:13:08.000Z,"RT @MarvelStudios: Queen Mother 👑
 
Marvel Studios’ Black Panther: #WakandaForever, now playing only in theaters. Get tickets now: https://…",7.787
2022-11-28T20:13:12.000Z,"‘Black Panther: Wakanda Forever’ Review: Women on the Home Front

#Marvel 

https://t.co/UJbWlExyRL",5
2022-11-28T20:13:17.000Z,RT @heroichollywood: New Marvel Disney+ series concept of ‘Bashenga: The First Black Panther’ by @Shaun_Harrison! Ryan Coogler make this! h…,7.1075
2022-11-28T20:13:18.000Z,"@highpri36119508 @P_Kiddo @MsJuicyGenius You're talking the Lion King that stole the entire story from a Japanese cartoon?
That's the spirituality you're talking😂😂😂",5
2022-11-28T20:13:13.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:13:17.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:13:18.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:13:21.000Z,Tell me you’re racist without telling me you’re racist. #starwars #toxicfan https://t.co/jK0iJY8iPm,0.799
2022-11-28T20:13:25.000Z,@joiiwithani Ohhhh imma have to fiiighhtt youuuu🤣🤣😂,5
2022-11-28T20:13:30.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:13:25.000Z,RT @shaun_harrison: Concepted a New Disney/Marvel release Bashenga: The First Black Panther. And it’s taking off so let me post here… drop…,3.634
2022-11-28T20:13:26.000Z,"RT @mymixtapez: Actor Tenoch Huerta, who played Namor in Black Panther 2, goes off on Mexican Media outlets who said ‘Blacks &amp; Browns’ can’…",7.0095
2022-11-28T20:13:56.000Z,"Am I allowed to talk about the plot to black panther yet, bc it’s important to discuss the most powerful people on the planet spending their days showin each other their sea shells 🙃",7.992
2022-11-28T20:13:55.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:13:42.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:13:37.000Z,This shot of Angela Bassett. What a talent. What a Queen ❤️ #WakandaForever https://t.co/8nY1RsIFBQ,7.1075
2022-11-28T20:13:56.000Z,"Since nobody is talking about this... The new black panther is a lady with no boobs, no butt but who rocks...
She has insecurities, challenge but she does what she does
Society has been labeled what beauty is, but just be who you are.
A woman who rocks.
#BlackPanther",5.9505
2022-11-28T20:13:33.000Z,"RT @Jenny30355206: Watch Black Panther Wakanda Forever FOR FREE. #BlackPanther #Marvel #movies #free #comic #Watching 
https://t.co/t9DTAOt…",9.2775
2022-11-28T20:13:45.000Z,"Black panther 2… “here y’all go, enjoy your movie n*ggers” … 
6/10",7.7115
2022-11-28T20:14:18.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:14:15.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:14:18.000Z,"Mon top film marvel de la phase 4
En 7 les eternals
En 6 black widow
En 5 black Panther wakanda forever
En 4 Thor love and thunder
En 3 spiderman no way home
En 2 Shang-Chi
En 1 docteur Strange in the multivers
Est vous votre classement ?",9.18
2022-11-28T20:14:11.000Z,"RT @shadesofmozero: A recent performance at the premiere of the Black Panther by @imaginecinemas in FUNAAB 
And I couldn’t just help it tha…",3.4555
2022-11-28T20:14:04.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:14:14.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:14:04.000Z,Y’all actually play to much 😂😂 https://t.co/NQGphYAFUw,6.7
2022-11-28T20:14:24.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:14:19.000Z,@nchls_b Also watching those too https://t.co/pOi1BNSf2h,5
2022-11-28T20:14:18.000Z,@OneiDespair @GMA I think it's really unfair that the wypipo on @GMA get to be this blatantly racist on national TV and I don't—all because I am Mexican,0.939
2022-11-28T20:14:22.000Z,PLS I WAS GAGGED-,3.75
2022-11-28T20:14:18.000Z,@Little_Lair Go on...,5
2022-11-28T20:16:34.000Z,"RT @Disneyland: So many new additions In celebration of Black Panther: Wakanda Forever, like souvenirs, limited-time offerings land more at…",6.806
2022-11-28T20:14:30.000Z,Is that the future liberals want?,5.386
2022-11-28T20:16:35.000Z,@Microsoft @MSMakeCode what is black panther for ??,5
2022-11-28T20:16:38.000Z,"RT @theblackpanther: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionall…",5.7655
2022-11-28T20:16:38.000Z,"@RayyvanaTTV My girl was Brimstone, when I found her in an industrial yard she was a little black stinky ball of fur, we were together for 19 years. I miss her 💔. https://t.co/dTnk4zdcUl",3.1715
2022-11-28T20:16:42.000Z,@theblackpanther she about to win a oscar she was too good,8.8585
2022-11-28T20:16:47.000Z,This just took me out https://t.co/mBkgWq9MGh,5
2022-11-28T20:16:42.000Z,"@barbiehines @MooseHunter150 @jp262 ya do know Kwanzaa is a made up holiday, by a convicted black panther leader thrown in jail for Felony assault, false imprisonment and torture of women right? But sure go ahead and compare that to the others",3.409
2022-11-28T20:16:47.000Z,What the hell is this 😂 https://t.co/PKib3ucG4t,1.596
