created_at,text,sentiment_score
2022-11-28T20:28:45.000Z,HOLY SHIT! Glass Onion is so good and funny and smart and FUCK!,6.811
2022-11-28T20:29:54.000Z,"I’ll do another full review since I did one last night: this movie has a slow first 30-45 minutes, I can’t even lie. Maybe that was me waiting for it to live up to the first knives out tho. There’s literally an among us joke in the first 10 minutes that actually ends up being",4.614
2022-11-28T20:29:45.000Z,RT @Goodstyle42: It's so insane how timely Glass Onion ended up being.,2.295
2022-11-28T20:30:20.000Z,@gemko Should I be depressed that GLASS ONION was the first film I saw at a commercial multiplex with a packed audience in nearly 3 years?,2.706
2022-11-28T20:30:16.000Z,"@RonnieSerp @paladin991973 @IGN It references it, but does it ever say it?

Does it ever get an exact number of how low the scores were? Or does it say the scores were low and fails to elaborate how or why?",0.8995
2022-11-28T20:30:48.000Z,"Watched THE MENU, TRIANGLE OF SADNESS and GLASS ONION which are all movies about how horrible rich people are that also makes me really want to be a rich person.",6.692
2022-11-28T20:31:32.000Z,*normal tone of voice* Jessica Henwick in Glass Onion has the Dasha Nekrasova in Succession role,6.0115
2022-11-28T20:32:46.000Z,@notquitezennor Really enjoyed this!,7.7815
2022-11-28T20:33:55.000Z,"@netflix seems like Glass Onion @KnivesOut is doing ya some good in theaters, why don't you...oh idk... EXTEND THE THEATER RELEASE 
@rianjohnson

#GlassOnion",8.1715
2022-11-28T20:33:34.000Z,@adlow76 Maybe they’re both crashing bores for audiences making a choice with their dollars?  Glass Onion made a lot more in less theaters on exactly the same weekend and it’s not a Marvel movie.,2.1895
2022-11-28T20:16:21.000Z,"Planning on streaming tonight at 6pm CT as usual BUT it will be a shorter stream! I'll be ending at 7:30 cuz me and the boy are gonna go see GLASS ONION!!

See you soon! https://t.co/bh2EaunjQX",2.1405
2022-11-28T20:16:28.000Z,@DakotaWillKnow @M0LA3 @eriktruedson @charleyonhere I liked knives out quite a bit and most of Johnson's stuff other than last Jedi. Nice guys is way more interesting and funny imo though. It's weird that Shane black doesn't make more shit. I loved kiss kiss bang bang,9.868
2022-11-28T20:17:40.000Z,"By the way, between this one, Glass Onion, Armageddon Time, She Said, and The Fabelmans there is an absolute embarrassment of riches at the cineplex right now. I'll prob do a top 10 post and I imagine they'd all probably be on it!",4.742
2022-11-28T20:16:35.000Z,"This Was the Worst Thanksgiving Weekend in Box-Office History.: Yes, Disney's animated ""Strange World"" is a bomb — but without Netflix's ""Glass Onion,"" the weekend would have been even worse https://t.co/PC4qFGfgXo | @IndieWire #Thanksgiving #Weekend #BoxOffice #History https://t.co/wpwNwWOAoN",0.95
2022-11-28T20:17:16.000Z,"@scottEmovienerd Theater chains no doubt demanded the window / limited the release. As is Netflix managed to hit the Thanksgiving rush in theaters and will reap streaming success at Christmas, not a bad deal in the scheme  of things (sounds like it’s the best they could get) https://t.co/3SUVcqvgKH",8.875
